latitude,longitude,SPI
5.875,98.125,NaN
5.875,98.375,NaN
5.875,98.625,NaN
5.875,98.875,NaN
5.875,99.125,NaN
5.875,99.375,NaN
5.875,99.625,NaN
5.875,99.875,NaN
5.875,100.125,NaN
5.875,100.375,4.431249142
5.875,100.625,3.089827299
5.875,100.875,3.671772003
6.125,65.125,NaN
6.125,65.375,NaN
6.125,65.625,NaN
6.125,65.875,NaN
6.125,66.125,NaN
6.125,66.375,NaN
6.125,66.625,NaN
6.125,66.875,NaN
6.125,67.125,NaN
6.125,67.375,NaN
6.125,67.625,NaN
6.125,67.875,NaN
6.125,68.125,NaN
6.125,68.375,NaN
6.125,68.625,NaN
6.125,68.875,NaN
6.125,69.125,NaN
6.125,69.375,NaN
6.125,69.625,NaN
6.125,69.875,NaN
6.125,70.125,NaN
6.125,70.375,NaN
6.125,70.625,NaN
6.125,70.875,NaN
6.125,71.125,NaN
6.125,71.375,NaN
6.125,71.625,NaN
6.125,71.875,NaN
6.125,72.125,NaN
6.125,72.375,NaN
6.125,72.625,NaN
6.125,72.875,NaN
6.125,73.125,NaN
6.125,73.375,NaN
6.125,73.625,NaN
6.125,73.875,NaN
6.125,74.125,NaN
6.125,74.375,NaN
6.125,74.625,NaN
6.125,74.875,NaN
6.125,75.125,NaN
6.125,75.375,NaN
6.125,75.625,NaN
6.125,75.875,NaN
6.125,76.125,NaN
6.125,76.375,NaN
6.125,76.625,NaN
6.125,76.875,NaN
6.125,77.125,NaN
6.125,77.375,NaN
6.125,77.625,NaN
6.125,77.875,NaN
6.125,78.125,NaN
6.125,78.375,NaN
6.125,78.625,NaN
6.125,78.875,NaN
6.125,79.125,NaN
6.125,79.375,NaN
6.125,79.625,NaN
6.125,79.875,NaN
6.125,80.125,5.021607399
6.125,80.375,5.381501198
6.125,80.625,5.028264046
6.125,80.875,4.49667263
6.125,81.125,5.772297859
6.125,81.375,6.45452261
6.125,81.625,NaN
6.125,81.875,NaN
6.125,82.125,NaN
6.125,82.375,NaN
6.125,82.625,NaN
6.125,82.875,NaN
6.125,83.125,NaN
6.125,83.375,NaN
6.125,83.625,NaN
6.125,83.875,NaN
6.125,84.125,NaN
6.125,84.375,NaN
6.125,84.625,NaN
6.125,84.875,NaN
6.125,85.125,NaN
6.125,85.375,NaN
6.125,85.625,NaN
6.125,85.875,NaN
6.125,86.125,NaN
6.125,86.375,NaN
6.125,86.625,NaN
6.125,86.875,NaN
6.125,87.125,NaN
6.125,87.375,NaN
6.125,87.625,NaN
6.125,87.875,NaN
6.125,88.125,NaN
6.125,88.375,NaN
6.125,88.625,NaN
6.125,88.875,NaN
6.125,89.125,NaN
6.125,89.375,NaN
6.125,89.625,NaN
6.125,89.875,NaN
6.125,90.125,NaN
6.125,90.375,NaN
6.125,90.625,NaN
6.125,90.875,NaN
6.125,91.125,NaN
6.125,91.375,NaN
6.125,91.625,NaN
6.125,91.875,NaN
6.125,92.125,NaN
6.125,92.375,NaN
6.125,92.625,NaN
6.125,92.875,NaN
6.125,93.125,NaN
6.125,93.375,NaN
6.125,93.625,NaN
6.125,93.875,NaN
6.125,94.125,NaN
6.125,94.375,NaN
6.125,94.625,NaN
6.125,94.875,NaN
6.125,95.125,NaN
6.125,95.375,NaN
6.125,95.625,NaN
6.125,95.875,NaN
6.125,96.125,NaN
6.125,96.375,NaN
6.125,96.625,NaN
6.125,96.875,NaN
6.125,97.125,NaN
6.125,97.375,NaN
6.125,97.625,NaN
6.125,97.875,NaN
6.125,98.125,NaN
6.125,98.375,NaN
6.125,98.625,NaN
6.125,98.875,NaN
6.125,99.125,NaN
6.125,99.375,NaN
6.125,99.625,NaN
6.125,99.875,NaN
6.125,100.125,NaN
6.125,100.375,3.394421339
6.125,100.625,3.056165457
6.125,100.875,3.809141636
6.375,65.125,NaN
6.375,65.375,NaN
6.375,65.625,NaN
6.375,65.875,NaN
6.375,66.125,NaN
6.375,66.375,NaN
6.375,66.625,NaN
6.375,66.875,NaN
6.375,67.125,NaN
6.375,67.375,NaN
6.375,67.625,NaN
6.375,67.875,NaN
6.375,68.125,NaN
6.375,68.375,NaN
6.375,68.625,NaN
6.375,68.875,NaN
6.375,69.125,NaN
6.375,69.375,NaN
6.375,69.625,NaN
6.375,69.875,NaN
6.375,70.125,NaN
6.375,70.375,NaN
6.375,70.625,NaN
6.375,70.875,NaN
6.375,71.125,NaN
6.375,71.375,NaN
6.375,71.625,NaN
6.375,71.875,NaN
6.375,72.125,NaN
6.375,72.375,NaN
6.375,72.625,NaN
6.375,72.875,NaN
6.375,73.125,NaN
6.375,73.375,NaN
6.375,73.625,NaN
6.375,73.875,NaN
6.375,74.125,NaN
6.375,74.375,NaN
6.375,74.625,NaN
6.375,74.875,NaN
6.375,75.125,NaN
6.375,75.375,NaN
6.375,75.625,NaN
6.375,75.875,NaN
6.375,76.125,NaN
6.375,76.375,NaN
6.375,76.625,NaN
6.375,76.875,NaN
6.375,77.125,NaN
6.375,77.375,NaN
6.375,77.625,NaN
6.375,77.875,NaN
6.375,78.125,NaN
6.375,78.375,NaN
6.375,78.625,NaN
6.375,78.875,NaN
6.375,79.125,NaN
6.375,79.375,NaN
6.375,79.625,NaN
6.375,79.875,NaN
6.375,80.125,4.373696804
6.375,80.375,4.563395023
6.375,80.625,3.856874466
6.375,80.875,3.52946043
6.375,81.125,2.927257061
6.375,81.375,2.656594038
6.375,81.625,6.523474216
6.375,81.875,NaN
6.375,82.125,NaN
6.375,82.375,NaN
6.375,82.625,NaN
6.375,82.875,NaN
6.375,83.125,NaN
6.375,83.375,NaN
6.375,83.625,NaN
6.375,83.875,NaN
6.375,84.125,NaN
6.375,84.375,NaN
6.375,84.625,NaN
6.375,84.875,NaN
6.375,85.125,NaN
6.375,85.375,NaN
6.375,85.625,NaN
6.375,85.875,NaN
6.375,86.125,NaN
6.375,86.375,NaN
6.375,86.625,NaN
6.375,86.875,NaN
6.375,87.125,NaN
6.375,87.375,NaN
6.375,87.625,NaN
6.375,87.875,NaN
6.375,88.125,NaN
6.375,88.375,NaN
6.375,88.625,NaN
6.375,88.875,NaN
6.375,89.125,NaN
6.375,89.375,NaN
6.375,89.625,NaN
6.375,89.875,NaN
6.375,90.125,NaN
6.375,90.375,NaN
6.375,90.625,NaN
6.375,90.875,NaN
6.375,91.125,NaN
6.375,91.375,NaN
6.375,91.625,NaN
6.375,91.875,NaN
6.375,92.125,NaN
6.375,92.375,NaN
6.375,92.625,NaN
6.375,92.875,NaN
6.375,93.125,NaN
6.375,93.375,NaN
6.375,93.625,NaN
6.375,93.875,NaN
6.375,94.125,NaN
6.375,94.375,NaN
